23 
30. 18. 0.158 0.1
3.	0.24	0.4
4.	0.54	4.2
5.	0.69	10.8
6.	0.75	20.1
7.	0.76	32.3
8.	0.75	47.6
9.	0.69	62.8
10.	0.60	73.4
11.	0.50	78.4
12.	0.42	80.0
13.	0.36	80.0
14.	0.32	80.0
15.	0.29	80.0
16.	0.26	80.0
17.	0.25	80.0
18.	0.23	80.0
19.	0.22	80.0
20.	0.21	80.0
21.	0.20	80.0
22.	0.20	80.0
23.	0.19	80.0
24.	0.19	80.0
25.	0.18	80.0
